address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people)
"72, Ring Road, JP Nagar, Bangalore",Green Bar & Grill 1125,No,Yes,3.8/5,84,080 46407907,JP Nagar,Delivery,"Momos, Thali, Idli, Gulab Jamun","North Indian, Street Food",500
"75, 2nd Stage, Marathahalli, Bangalore",Urban Point 1126,Yes,No,4.8/5,472,080 44795228,Marathahalli,Fine Dining,"Noodles, Filter Coffee, Pasta","Beverages, Italian","1,750"
"183, Main Road, Electronic City, Bangalore",South Side Cafe 1127,Yes,No,NEW,32,080 45055086,Electronic City,Casual Dining,"Chocolate Brownie, Waffles","Thai, Continental, Desserts",650
"117, Main Road, Hebbal, Bangalore",Urban Express 1128,No,No,3.5/5,139,080 49220134,Hebbal,Bakery,"Waffles, Pasta",Japanese,450
"82, 1st Block, Yelahanka, Bangalore",Local Kitchen 1129,No,No,NEW,75,080 42563710,Yelahanka,Casual Dining,Cold Coffee,"South Indian, BBQ",700
"139, 2nd Stage, Rajajinagar, Bangalore",Royal House 1130,No,No,4.0/5,776,080 41843484,Rajajinagar,Casual Dining,"Idli, Noodles, Gulab Jamun","Bakery, Desserts",750
"167, Main Road, Koramangala, Bangalore",Classic Express 1131,No,No,3.9/5,99,080 47472786,Koramangala,Bakery,"Pasta, Masala Dosa","North Indian, South Indian",300
"182, Main Road, Indiranagar, Bangalore",Spice Cafe 1132,No,No,3.9/5,113,080 45259225,Indiranagar,Delivery,Waffles,Beverages,500
"26, 1st Block, Indiranagar, Bangalore",Punjabi Diner 1133,No,No,3.8/5,210,080 49619417,Indiranagar,Quick Bites,Thali,"Biryani, Mughlai",550
"199, Ring Road, Bellandur, Bangalore",Urban Cafe 1134,No,No,4.0/5,117,080 40348548,Bellandur,Quick Bites,"Idli, Masala Dosa","Thai, Andhra, Desserts",400
"9, Cross, HSR Layout, Bangalore",Local Express 1135,Yes,No,4.3/5,77,080 45683608,HSR Layout,Casual Dining,Noodles,"North Indian, Fast Food",350
"174, Ring Road, Koramangala, Bangalore",Café Express 1136,Yes,Yes,4.9/5,600,080 42489955,Koramangala,Delivery,"Waffles, Biryani, Chocolate Brownie, Filter Coffee","Street Food, Beverages, Mexican",450
"126, Main Road, Jayanagar, Bangalore",Golden Bar & Grill 1137,No,Yes,4.7/5,625,080 44899229,Jayanagar,Dessert Parlor,"Thali, Pizza",Japanese,200
"160, Cross, Marathahalli, Bangalore",Café Point 1138,Yes,No,4.5/5,485,080 42658132,Marathahalli,Cafe,,"Biryani, Mughlai",500
"109, Ring Road, Marathahalli, Bangalore",Local Hub 1139,Yes,No,3.8/5,77,080 49348414,Marathahalli,Casual Dining,"Paneer Butter Masala, Biryani","North Indian, Bakery",700
"57, Cross, Koramangala, Bangalore",Café Restaurant 1140,No,No,4.0/5,388,080 40077476,Koramangala,Casual Dining,"Chocolate Brownie, Burgers",Fast Food,600
"43, 1st Block, Jayanagar, Bangalore",South Side Corner 1141,No,No,4.1/5,260,080 49707201,Jayanagar,Bar,"Waffles, Momos, Tandoori Chicken, Filter Coffee","Japanese, Continental","1,100"
"164, Cross, Koramangala, Bangalore",Grand Corner 1142,Yes,No,4.3/5,382,080 42561625,Koramangala,Cafe,"Momos, Biryani, Waffles, Rolls",Continental,500
"20, 2nd Stage, Basavanagudi, Bangalore",Red Corner 1143,Yes,No,3.6/5,9,080 41610523,Basavanagudi,Cafe,"Butter Chicken, Tandoori Chicken","Andhra, Continental, Italian",700
"101, 1st Block, Rajajinagar, Bangalore",Classic Bistro 1144,No,No,4.1/5,316,080 44324719,Rajajinagar,Casual Dining,Rolls,,700
"9, 2nd Stage, Rajajinagar, Bangalore",The Restaurant 1145,No,No,NEW,620,080 44265178,Rajajinagar,Pub,"Biryani, Chocolate Brownie, Paneer Butter Masala, Idli","Thai, Mughlai, South Indian","1,300"
"67, Main Road, Bellandur, Bangalore",Local Restaurant 1146,Yes,No,4.4/5,95,080 41716391,Bellandur,Delivery,"Butter Chicken, Burgers","Japanese, Cafe Food, Thai",400
"35, 1st Block, HSR Layout, Bangalore",Punjabi Restaurant 1147,Yes,No,4.4/5,527,080 47460238,HSR Layout,Kiosk,Chicken Wings,"Cafe Food, Beverages, Fast Food",150
"33, 1st Block, Malleshwaram, Bangalore",Red Bar & Grill 1148,Yes,No,3.4/5,22,080 45987329,Malleshwaram,Casual Dining,Butter Chicken,Japanese,550
"108, 2nd Stage, Bellandur, Bangalore",Café Point 1149,Yes,No,4.3/5,171,080 40554158,Bellandur,Casual Dining,Tandoori Chicken,Andhra,950
"144, Main Road, Koramangala, Bangalore",Curry Bistro 1150,Yes,No,NEW,167,080 46484316,Koramangala,Kiosk,Paneer Butter Masala,Continental,200
"72, Cross, Jayanagar, Bangalore",Golden Corner 1151,No,No,3.8/5,169,080 42277223,Jayanagar,Delivery,"Noodles, Paneer Butter Masala, Burgers","Thai, BBQ",450
"151, 2nd Stage, Malleshwaram, Bangalore",Green House 1152,Yes,No,4.2/5,512,080 44996154,Malleshwaram,Food Court,"Masala Dosa, Sandwiches, Noodles",BBQ,400
"109, 1st Block, Koramangala, Bangalore",Red Hub 1153,No,Yes,3.8/5,709,080 46206940,Koramangala,Food Court,"Tandoori Chicken, Chicken Wings, Filter Coffee","Bakery, Thai, Mughlai",250
"96, Cross, Yelahanka, Bangalore",Punjabi Kitchen 1154,Yes,No,NEW,202,080 41893398,Yelahanka,Bakery,"Rolls, Butter Chicken","BBQ, Mexican, Japanese",250
"193, 1st Block, Koramangala, Bangalore",Golden Diner 1155,Yes,No,3.7/5,179,080 42239398,Koramangala,Casual Dining,"Gulab Jamun, Chicken Wings, Paneer Butter Masala, Rolls","Italian, South Indian",650
"75, Main Road, Koramangala, Bangalore",Blue Express 1156,Yes,Yes,4.2/5,258,080 41539577,Koramangala,Fine Dining,"Chicken Wings, Gulab Jamun, Burgers, Idli","North Indian, Beverages","1,000"
"160, 1st Block, Marathahalli, Bangalore",Golden Corner 1157,No,Yes,3.8/5,165,080 41795143,Marathahalli,Delivery,"Cold Coffee, Butter Chicken, Filter Coffee, Tandoori Chicken","Japanese, Bakery, Biryani",700
"28, Main Road, Koramangala, Bangalore",Grand Diner 1158,Yes,No,3.6/5,53,080 48223874,Koramangala,Casual Dining,"Waffles, Chicken Wings",,700
"142, 2nd Stage, Yelahanka, Bangalore",Classic Point 1159,Yes,No,4.2/5,83,080 46172719,Yelahanka,Quick Bites,"Momos, Paneer Butter Masala, Pasta",Andhra,300
"191, 2nd Stage, MG Road, Bangalore",Punjabi Adda 1160,Yes,No,4.0/5,256,080 41014231,MG Road,Casual Dining,"Biryani, Masala Dosa",South Indian,900
"47, Cross, Bellandur, Bangalore",Grand Hub 1161,No,No,-,541,080 43936682,Bellandur,Quick Bites,,Japanese,500
"76, 1st Block, Indiranagar, Bangalore",Spice Bar & Grill 1162,No,No,3.6/5,358,080 46250786,Indiranagar,Dessert Parlor,"Idli, Noodles, Thali, Filter Coffee",Fast Food,400
"39, 1st Block, Indiranagar, Bangalore",Spice House 1163,Yes,No,4.8/5,87,080 43055721,Indiranagar,Quick Bites,"Pasta, Tandoori Chicken","Fast Food, Bakery, BBQ",300
"34, Main Road, MG Road, Bangalore",Red Point 1164,No,No,4.2/5,373,080 49955664,MG Road,Pub,"Waffles, Masala Dosa, Biryani","Beverages, Bakery, South Indian",800
"15, Main Road, Electronic City, Bangalore",Local Adda 1165,Yes,No,4.0/5,341,080 41908536,Electronic City,Casual Dining,"Rolls, Paneer Butter Masala, Gulab Jamun, Biryani","Biryani, Cafe Food, Continental",400
"51, Cross, Whitefield, Bangalore",Red Bites 1166,Yes,Yes,NEW,102,080 46216635,Whitefield,Casual Dining,"Cold Coffee, Paneer Butter Masala, Tandoori Chicken","Desserts, Japanese",650
"20, Cross, Indiranagar, Bangalore",Royal Cafe 1167,Yes,No,4.1/5,228,080 47044184,Indiranagar,Bar,Momos,"BBQ, North Indian, Italian","1,100"
"146, Main Road, Basavanagudi, Bangalore",Spice Villa 1168,No,Yes,4.1/5,161,080 49208822,Basavanagudi,Delivery,Filter Coffee,"North Indian, South Indian, Biryani",400
"63, Ring Road, MG Road, Bangalore",Royal Corner 1169,Yes,Yes,4.2/5,263,080 40925129,MG Road,Delivery,Pasta,Street Food,400
"49, 1st Block, Bellandur, Bangalore",Golden Corner 1170,No,Yes,3.8/5,45,080 40664942,Bellandur,Quick Bites,,Mexican,300
"10, 1st Block, Indiranagar, Bangalore",Spice Bistro 1171,No,Yes,3.7/5,244,080 41396946,Indiranagar,Casual Dining,"Momos, Gulab Jamun, Chocolate Brownie, Cold Coffee",Biryani,650
"21, Cross, Bellandur, Bangalore",Grand Bar & Grill 1172,Yes,No,3.8/5,237,080 41282973,Bellandur,Quick Bites,"Butter Chicken, Idli, Filter Coffee, Cold Coffee","Mexican, Bakery, Desserts",500
"42, Ring Road, Electronic City, Bangalore",Grand Restaurant 1173,Yes,No,4.3/5,139,080 40643899,Electronic City,Quick Bites,"Tandoori Chicken, Noodles","Cafe Food, Chinese, Andhra",450
"165, 2nd Stage, Whitefield, Bangalore",Classic Express 1174,Yes,Yes,4.1/5,79,080 47530815,Whitefield,Bakery,Rolls,"Fast Food, Mexican",400
"17, 2nd Stage, Jayanagar, Bangalore",The Hub 1175,Yes,Yes,3.8/5,310,080 48325320,Jayanagar,Bakery,"Rolls, Butter Chicken, Paneer Butter Masala","Japanese, South Indian, BBQ",400
"109, Cross, BTM, Bangalore",Curry Express 1176,No,No,3.3/5,107,080 40590228,BTM,Delivery,"Chocolate Brownie, Burgers",Thai,300
"121, Ring Road, Sarjapur Road, Bangalore",Local Villa 1177,No,No,3.7/5,411,080 48857755,Sarjapur Road,Casual Dining,"Filter Coffee, Chocolate Brownie, Masala Dosa, Waffles",Continental,800
"95, 1st Block, Marathahalli, Bangalore",Green Corner 1178,Yes,No,4.2/5,337,080 40713270,Marathahalli,Bar,"Tandoori Chicken, Masala Dosa","South Indian, Street Food","1,250"
"161, Main Road, JP Nagar, Bangalore",Café Express 1179,Yes,No,3.6/5,145,080 45526069,JP Nagar,Quick Bites,"Idli, Rolls, Waffles, Pasta","Cafe Food, Bakery",400
"161, Main Road, Indiranagar, Bangalore",Red Express 1180,Yes,No,3.2/5,78,080 43955022,Indiranagar,Cafe,"Butter Chicken, Paneer Butter Masala","Cafe Food, Chinese, Beverages",500
"106, 1st Block, Koramangala, Bangalore",Red House 1181,Yes,No,3.4/5,183,080 46864079,Koramangala,Delivery,,"North Indian, Desserts, South Indian",400
"1, Main Road, BTM, Bangalore",Grand Kitchen 1182,No,No,4.6/5,83,080 43688297,BTM,Bar,Pizza,,"1,250"
"136, 1st Block, Hebbal, Bangalore",Local Restaurant 1183,No,No,4.0/5,314,080 42823661,Hebbal,Delivery,"Masala Dosa, Chocolate Brownie, Burgers, Pasta",Continental,450
"1, 2nd Stage, Whitefield, Bangalore",Blue Cafe 1184,No,No,4.4/5,768,080 47943931,Whitefield,Cafe,"Idli, Paneer Butter Masala","Beverages, Continental, Thai",600
"41, Ring Road, MG Road, Bangalore",South Side Restaurant 1185,Yes,No,3.2/5,284,080 44293314,MG Road,Quick Bites,"Gulab Jamun, Thali","South Indian, Italian, Bakery",350
"151, Cross, Jayanagar, Bangalore",Blue Villa 1186,Yes,Yes,NEW,156,080 41138051,Jayanagar,Quick Bites,"Biryani, Cold Coffee, Filter Coffee","Street Food, Thai, South Indian",350
"42, 2nd Stage, Bellandur, Bangalore",South Side Adda 1187,Yes,No,4.2/5,470,080 45889491,Bellandur,Kiosk,,"Beverages, Cafe Food",200
"75, 2nd Stage, MG Road, Bangalore",Spice Bites 1188,Yes,No,4.2/5,62,080 49243426,MG Road,Pub,"Biryani, Waffles, Cold Coffee, Sandwiches","Cafe Food, Desserts, Bakery",950
"29, Main Road, BTM, Bangalore",Punjabi Corner 1189,Yes,No,4.3/5,156,080 44963135,BTM,Fine Dining,,"Mexican, BBQ","1,650"
"87, Ring Road, Marathahalli, Bangalore",Red Kitchen 1190,No,No,3.9/5,425,080 47748660,Marathahalli,Delivery,"Biryani, Noodles, Cold Coffee",,300
"167, Ring Road, JP Nagar, Bangalore",Royal Diner 1191,Yes,Yes,3.7/5,265,080 45235591,JP Nagar,Delivery,"Pizza, Chicken Wings","Andhra, North Indian",400
"161, 1st Block, Whitefield, Bangalore",Green Diner 1192,No,No,3.1/5,68,080 48528672,Whitefield,Quick Bites,"Masala Dosa, Thali, Pasta, Noodles",Cafe Food,300
"80, Cross, HSR Layout, Bangalore",Grand Adda 1193,No,No,3.8/5,11,080 45885521,HSR Layout,Cafe,"Waffles, Pizza","Biryani, Mughlai, Cafe Food",550
"141, Ring Road, HSR Layout, Bangalore",South Side Corner 1194,Yes,No,-,240,080 40106912,HSR Layout,Cafe,"Chicken Wings, Cold Coffee, Tandoori Chicken","Cafe Food, Beverages, Mexican",500
"26, Ring Road, BTM, Bangalore",Punjabi Express 1195,No,No,3.7/5,124,080 46183644,BTM,Casual Dining,"Biryani, Thali, Rolls","Biryani, Italian, South Indian",950
"150, Ring Road, Jayanagar, Bangalore",Royal Villa 1196,Yes,No,4.3/5,27,080 40876446,Jayanagar,Quick Bites,"Noodles, Sandwiches","Italian, Bakery",250
"10, Cross, Indiranagar, Bangalore",Green Express 1197,Yes,No,4.0/5,228,080 45660882,Indiranagar,Casual Dining,"Pizza, Butter Chicken","Bakery, Mughlai",550
"91, Main Road, Indiranagar, Bangalore",South Side Cafe 1198,Yes,No,3.2/5,375,080 44983519,Indiranagar,Delivery,,"Cafe Food, Street Food, Desserts",350
"76, Main Road, HSR Layout, Bangalore",South Side Point 1199,No,Yes,3.8/5,210,080 45501762,HSR Layout,Delivery,"Idli, Tandoori Chicken, Momos",Street Food,350
"99, Ring Road, Indiranagar, Bangalore",Golden Restaurant 1200,No,No,4.6/5,504,080 43498261,Indiranagar,Casual Dining,Thali,"Bakery, North Indian, Continental",750
"90, Cross, MG Road, Bangalore",Local Bistro 1201,No,No,4.2/5,343,080 41320125,MG Road,Delivery,,Continental,300
"109, 2nd Stage, BTM, Bangalore",Red Adda 1202,No,Yes,4.0/5,323,080 46739219,BTM,Bakery,"Rolls, Momos, Cold Coffee, Waffles","Desserts, Mexican",400
"189, 2nd Stage, Marathahalli, Bangalore",Red Diner 1203,Yes,No,NEW,371,080 41970610,Marathahalli,Quick Bites,Waffles,"Street Food, Cafe Food, Fast Food",300
"192, Cross, MG Road, Bangalore",South Side Restaurant 1204,No,No,3.8/5,396,080 49510307,MG Road,Bakery,"Thali, Butter Chicken, Sandwiches, Pizza","Continental, Japanese",200
"99, Main Road, Bellandur, Bangalore",Spice Restaurant 1205,Yes,Yes,3.6/5,86,,Bellandur,Quick Bites,Masala Dosa,"Desserts, Street Food",450
"186, Main Road, JP Nagar, Bangalore",Urban Bites 1206,Yes,No,3.9/5,51,080 41704651,JP Nagar,Quick Bites,Cold Coffee,"Italian, North Indian, Mughlai",350
"14, Ring Road, Marathahalli, Bangalore",South Side Restaurant 1207,Yes,No,-,156,080 44758320,Marathahalli,Quick Bites,"Burgers, Butter Chicken, Momos","Biryani, Thai",450
"162, 2nd Stage, MG Road, Bangalore",Golden Point 1208,Yes,No,4.5/5,364,080 45951671,MG Road,Cafe,"Idli, Masala Dosa, Tandoori Chicken",Andhra,300
"44, Ring Road, Whitefield, Bangalore",Golden Junction 1209,Yes,No,-,102,080 45171003,Whitefield,Casual Dining,"Masala Dosa, Pizza, Chocolate Brownie, Pasta","Fast Food, Desserts",700
"129, Main Road, MG Road, Bangalore",Royal Express 1210,No,Yes,3.9/5,231,,MG Road,Food Court,"Gulab Jamun, Filter Coffee","Andhra, North Indian, Continental",350
"32, 2nd Stage, Indiranagar, Bangalore",Punjabi Bistro 1211,Yes,No,4.1/5,227,080 44382199,Indiranagar,Casual Dining,"Butter Chicken, Sandwiches, Burgers, Idli","Italian, Andhra",500
"125, Ring Road, MG Road, Bangalore",Spice Bar & Grill 1212,Yes,No,4.1/5,352,080 41023795,MG Road,Cafe,"Chocolate Brownie, Chicken Wings","BBQ, Mexican, Bakery",300
"117, 2nd Stage, Indiranagar, Bangalore",Curry Bistro 1213,No,No,4.0/5,74,080 42766183,Indiranagar,Fine Dining,"Idli, Tandoori Chicken, Butter Chicken, Thali",Continental,"1,600"
"148, Main Road, Rajajinagar, Bangalore",Curry Cafe 1214,Yes,No,4.1/5,315,080 43992171,Rajajinagar,Bakery,Tandoori Chicken,"Desserts, South Indian, North Indian",350
"27, Ring Road, JP Nagar, Bangalore",Red House 1215,Yes,Yes,3.9/5,183,080 44981606,JP Nagar,Quick Bites,"Biryani, Pizza, Noodles","Biryani, Mexican, South Indian",450
"8, 2nd Stage, MG Road, Bangalore",Grand Cafe 1216,No,Yes,3.7/5,119,080 43576795,MG Road,Bakery,Masala Dosa,"Mughlai, BBQ",300
"137, 1st Block, HSR Layout, Bangalore",Grand Kitchen 1217,No,No,3.9/5,347,080 44062224,HSR Layout,Casual Dining,"Cold Coffee, Rolls, Gulab Jamun, Waffles","Andhra, Chinese, South Indian",450
"10, Ring Road, Electronic City, Bangalore",Red Kitchen 1218,Yes,No,3.8/5,189,080 44079193,Electronic City,Delivery,"Noodles, Pizza, Cold Coffee, Rolls",Bakery,100
"115, Cross, Indiranagar, Bangalore",Blue Corner 1219,Yes,No,3.8/5,168,080 47668385,Indiranagar,Quick Bites,,Street Food,300
"173, Cross, Basavanagudi, Bangalore",Royal Bites 1220,No,No,4.0/5,203,080 44818800,Basavanagudi,Fine Dining,"Masala Dosa, Momos, Burgers","Chinese, Fast Food, Desserts","1,800"
"105, Main Road, Jayanagar, Bangalore",Green Bites 1221,Yes,No,3.8/5,290,080 48642200,Jayanagar,Delivery,Noodles,"Beverages, Andhra, North Indian",350
"197, Ring Road, Indiranagar, Bangalore",Green Kitchen 1222,No,Yes,4.1/5,51,080 46916748,Indiranagar,Casual Dining,"Burgers, Tandoori Chicken, Chicken Wings, Gulab Jamun",Cafe Food,700
"63, Ring Road, Sarjapur Road, Bangalore",Local Diner 1223,No,No,NEW,326,080 44145397,Sarjapur Road,Delivery,"Momos, Idli","Bakery, Cafe Food",400
"108, Ring Road, Rajajinagar, Bangalore",Local Hub 1224,Yes,No,NEW,376,080 44440186,Rajajinagar,Bar,"Pizza, Pasta, Rolls",Desserts,"1,100"
"9, Main Road, Koramangala, Bangalore",Spice Hub 1225,No,No,3.9/5,307,080 40377604,Koramangala,Bar,"Thali, Chicken Wings",Italian,800
"172, 2nd Stage, HSR Layout, Bangalore",Café Cafe 1226,No,No,4.0/5,582,080 41571787,HSR Layout,Casual Dining,"Chocolate Brownie, Masala Dosa","Italian, South Indian",450
"78, 2nd Stage, Banashankari, Bangalore",Local Hub 1227,Yes,No,4.0/5,198,080 47546691,Banashankari,Casual Dining,"Chicken Wings, Cold Coffee, Paneer Butter Masala, Waffles","BBQ, Desserts",800
"83, Ring Road, MG Road, Bangalore",The Express 1228,Yes,No,4.4/5,446,080 41321958,MG Road,Cafe,"Burgers, Pasta, Paneer Butter Masala, Momos","Mexican, Chinese, Bakery",550
"91, Cross, BTM, Bangalore",Classic Bites 1229,Yes,No,NEW,117,080 46624297,BTM,Fine Dining,"Burgers, Tandoori Chicken, Filter Coffee","Desserts, BBQ, Mughlai","1,850"
"105, Cross, Marathahalli, Bangalore",Classic Bar & Grill 1230,No,No,3.9/5,332,080 46800128,Marathahalli,Cafe,"Gulab Jamun, Sandwiches, Butter Chicken","Biryani, Fast Food",450
"72, 1st Block, BTM, Bangalore",Golden Corner 1231,Yes,No,3.7/5,172,080 47097534,BTM,Quick Bites,"Paneer Butter Masala, Burgers",Street Food,350
"187, 2nd Stage, Marathahalli, Bangalore",The Bites 1232,Yes,No,3.4/5,86,080 40084951,Marathahalli,Dessert Parlor,Noodles,"Chinese, Continental",300
"196, Main Road, Whitefield, Bangalore",Green Bar & Grill 1233,No,Yes,3.7/5,208,080 42333497,Whitefield,Casual Dining,"Thali, Butter Chicken, Chocolate Brownie, Burgers","Thai, Italian",600
"180, Cross, JP Nagar, Bangalore",Red Hub 1234,Yes,Yes,3.8/5,128,080 49826625,JP Nagar,Dessert Parlor,"Sandwiches, Masala Dosa, Waffles, Cold Coffee",Continental,250
"19, Main Road, Electronic City, Bangalore",Classic Adda 1235,Yes,No,4.1/5,388,080 41740134,Electronic City,Delivery,Tandoori Chicken,"South Indian, Japanese, Thai",550
"7, 1st Block, Electronic City, Bangalore",Grand Diner 1236,Yes,No,4.0/5,74,080 43192648,Electronic City,Delivery,,"Beverages, Fast Food",250
"87, 2nd Stage, Basavanagudi, Bangalore",Café Diner 1237,No,No,3.9/5,97,080 42189153,Basavanagudi,Bakery,"Paneer Butter Masala, Masala Dosa, Idli, Filter Coffee","Desserts, North Indian",350
"19, Main Road, Whitefield, Bangalore",Café Express 1238,Yes,No,NEW,248,080 47895444,Whitefield,Bar,"Filter Coffee, Sandwiches",Bakery,"1,050"
"124, Cross, Bellandur, Bangalore",Local House 1239,No,No,4.4/5,55,080 40181855,Bellandur,Fine Dining,"Noodles, Gulab Jamun, Masala Dosa",Chinese,"1,850"
"148, Ring Road, Malleshwaram, Bangalore",Blue Kitchen 1240,Yes,No,4.6/5,840,080 49852844,Malleshwaram,Quick Bites,Rolls,Biryani,350
"48, Main Road, Koramangala, Bangalore",Curry Villa 1241,Yes,Yes,4.4/5,196,080 49023410,Koramangala,Quick Bites,Filter Coffee,"Biryani, Italian",450
"36, 1st Block, Koramangala, Bangalore",Local Adda 1242,Yes,No,3.7/5,263,080 41312464,Koramangala,Cafe,"Filter Coffee, Butter Chicken",Italian,350
"83, 1st Block, Sarjapur Road, Bangalore",Classic Adda 1243,No,No,NEW,503,080 45270821,Sarjapur Road,Bar,"Pasta, Pizza","Italian, Andhra","1,300"
"31, 1st Block, Banashankari, Bangalore",Punjabi Cafe 1244,Yes,No,4.5/5,345,080 40223877,Banashankari,Kiosk,"Gulab Jamun, Paneer Butter Masala, Pizza, Thali",BBQ,200
"137, 2nd Stage, BTM, Bangalore",Curry Kitchen 1245,No,No,NEW,106,080 46879009,BTM,Delivery,"Waffles, Idli","Biryani, Street Food",450
"138, 1st Block, Indiranagar, Bangalore",South Side Bites 1246,Yes,No,3.8/5,396,080 40155800,Indiranagar,Quick Bites,"Chicken Wings, Waffles, Noodles","BBQ, North Indian",400
"64, 2nd Stage, Basavanagudi, Bangalore",Urban House 1247,Yes,No,3.8/5,583,080 48039045,Basavanagudi,Delivery,"Chocolate Brownie, Noodles","Thai, Mughlai",400
"165, Cross, Koramangala, Bangalore",Spice Cafe 1248,No,No,4.0/5,125,080 48974661,Koramangala,Bar,"Pizza, Chicken Wings",Biryani,700
"22, Ring Road, Yelahanka, Bangalore",Red Point 1249,No,Yes,4.2/5,322,080 41062154,Yelahanka,Casual Dining,"Biryani, Sandwiches, Filter Coffee, Idli","Thai, Italian, South Indian",600
"3, Ring Road, HSR Layout, Bangalore",Red Diner 1250,Yes,No,4.3/5,275,080 42657786,HSR Layout,Casual Dining,"Waffles, Filter Coffee, Tandoori Chicken, Gulab Jamun",BBQ,400
"40, Cross, Malleshwaram, Bangalore",Golden Villa 1251,Yes,No,4.1/5,17,080 45583730,Malleshwaram,Quick Bites,"Paneer Butter Masala, Masala Dosa, Thali","Mexican, Thai",300
"148, 2nd Stage, MG Road, Bangalore",Golden Corner 1252,No,Yes,3.9/5,186,080 43482446,MG Road,Cafe,Cold Coffee,South Indian,400
"3, Cross, BTM, Bangalore",Golden House 1253,Yes,No,-,371,080 42163399,BTM,Delivery,Gulab Jamun,"Fast Food, Bakery",400
"72, Main Road, Bellandur, Bangalore",Urban Bar & Grill 1254,Yes,No,4.1/5,324,080 42417046,Bellandur,Delivery,"Biryani, Cold Coffee, Chicken Wings","North Indian, South Indian, Desserts",400
"3, 1st Block, BTM, Bangalore",Curry Bar & Grill 1255,Yes,No,4.1/5,264,080 43110779,BTM,Bakery,"Rolls, Paneer Butter Masala, Chocolate Brownie, Idli","Mexican, South Indian, Biryani",300
"152, Cross, Whitefield, Bangalore",Green Hub 1256,No,No,4.0/5,328,080 49936575,Whitefield,Bar,Cold Coffee,"Street Food, Bakery, Andhra",950
"37, Cross, Hebbal, Bangalore",Grand Villa 1257,Yes,Yes,4.1/5,491,080 41485550,Hebbal,Quick Bites,Chocolate Brownie,"Beverages, Biryani, Mexican",200
"47, 2nd Stage, Indiranagar, Bangalore",South Side Cafe 1258,Yes,No,4.1/5,66,080 49677950,Indiranagar,Casual Dining,"Sandwiches, Tandoori Chicken, Filter Coffee, Momos","Continental, Chinese",550
"106, Cross, Indiranagar, Bangalore",Punjabi Kitchen 1259,Yes,No,3.8/5,36,080 40711014,Indiranagar,Cafe,"Gulab Jamun, Butter Chicken, Pizza","Fast Food, Desserts",300
"35, 2nd Stage, Electronic City, Bangalore",Grand Villa 1260,Yes,No,NEW,363,080 40258230,Electronic City,Quick Bites,Burgers,"Andhra, North Indian",300
"127, 1st Block, Indiranagar, Bangalore",Urban Bar & Grill 1261,Yes,No,4.5/5,479,080 42029368,Indiranagar,Quick Bites,"Rolls, Cold Coffee","Bakery, Continental, Italian",300
"44, Cross, Koramangala, Bangalore",Golden Express 1262,Yes,Yes,4.5/5,490,080 48134406,Koramangala,Bar,"Waffles, Momos","Biryani, Thai",700
"61, 2nd Stage, Marathahalli, Bangalore",Spice Cafe 1263,Yes,No,3.6/5,170,080 49154769,Marathahalli,Food Court,"Butter Chicken, Chicken Wings","Mughlai, Andhra",250
"178, 1st Block, Yelahanka, Bangalore",Punjabi Bar & Grill 1264,No,No,3.7/5,95,080 43612693,Yelahanka,Casual Dining,"Momos, Rolls","BBQ, Andhra, Thai",650
"38, Cross, HSR Layout, Bangalore",Local Corner 1265,Yes,No,4.7/5,356,080 44126764,HSR Layout,Bakery,"Momos, Thali","BBQ, Continental",400
"50, Cross, Indiranagar, Bangalore",The Diner 1266,Yes,Yes,4.6/5,625,080 42604218,Indiranagar,Kiosk,"Paneer Butter Masala, Tandoori Chicken, Pasta, Cold Coffee",,250
"14, 2nd Stage, Electronic City, Bangalore",Golden Kitchen 1267,Yes,No,3.8/5,66,080 40544969,Electronic City,Delivery,"Chocolate Brownie, Waffles, Tandoori Chicken","Bakery, South Indian, Mexican",300
"59, 1st Block, Indiranagar, Bangalore",Local Express 1268,No,No,3.7/5,205,080 47614794,Indiranagar,Bar,,"Continental, Fast Food, BBQ",950
"57, 2nd Stage, BTM, Bangalore",Urban Bites 1269,Yes,Yes,4.7/5,84,080 40390880,BTM,Fine Dining,"Thali, Waffles, Cold Coffee",,"1,600"
"138, Ring Road, Sarjapur Road, Bangalore",Golden Express 1270,No,No,3.8/5,187,080 49817703,Sarjapur Road,Casual Dining,Filter Coffee,Chinese,550
"55, Main Road, Indiranagar, Bangalore",Green Kitchen 1271,Yes,Yes,3.3/5,21,080 48810330,Indiranagar,Delivery,Gulab Jamun,"BBQ, Thai, Fast Food",400
"166, Ring Road, Banashankari, Bangalore",Classic Point 1272,Yes,No,3.9/5,165,080 46511060,Banashankari,Casual Dining,,"Continental, Biryani","1,000"
"2, 2nd Stage, Basavanagudi, Bangalore",Spice Adda 1273,No,Yes,4.0/5,74,080 48683139,Basavanagudi,Delivery,,Andhra,500
"167, Main Road, Basavanagudi, Bangalore",South Side Express 1274,No,No,3.5/5,147,080 45562828,Basavanagudi,Cafe,"Burgers, Pizza, Paneer Butter Masala","Bakery, Italian",500
"184, Cross, MG Road, Bangalore",South Side Diner 1275,Yes,No,3.5/5,197,080 41271188,MG Road,Delivery,"Butter Chicken, Idli","Bakery, South Indian, Japanese",450
